Agency name,Skills,Industries
5 Ways to Innovate,Growth & Innovation Strategy,"Financial Services,Technology, Information and Media"
Arktic Fox,,
Boost Awards,"Copywriting, PR",Professional Services
Bread Agency,"Digital Strategy, Social Media, Creative Production, Video Production, Social & Influencer Marketing","Alcoholic Beverages, Automotive, Beauty, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Government, Healthcare, Not-for-Profit, Pharmaceutical, Professional Services, Retail"
CHS,,
Croud,"Business Strategy, Customer Strategy, Data Strategy, Digital Strategy, Customer Data Platforms, Dashboarding & Measurement, Data Analytics, Data Visualisation, MarTech Consulting, Qualitative Research, Quantitative Research, ROl Optimisation, UX / UI Design, Artificial Intelligence, eCommerce & Marketplaces, MarTech Implementation, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Digital Performance Marketing, Media Buying, Media Strategy & Planning, PR, SEO / SEM, Shopper / PoS marketing, Social & Influencer Marketing","Alcoholic Beverages, Automotive, Beauty, Construction, Education, Entertainment, Fashion, Financial Services, FMCG, Food and Beverage Services, Gaming, Grocery, Healthcare, Hospitality, Manufacturing, Not-for-Profit, Professional Services, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities, Scale-up"
CXR Agency,"Digital Strategy, Experience Strategy, Growth & Innovation Strategy, Data Analytics, ROl Optimisation, Brand Design, Customer Experience Design, Graphic Design, Spatial Design, UX / UI Design, AR / VR, Artificial Intelligence, Blockchain / Web 3, CMS / DXP, CRM Implementation, eCommerce & Marketplaces, Mobile App Development, Software Development, Web Development, Experiential Marketing","Alcoholic Beverages, Entertainment, Fashion, Gaming, Healthcare, Hospitality, Manufacturing, Not-for-Profit, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Scale-up, Start-up"
Edge,"Business Strategy, CRM Strategy, Customer Strategy, Digital Strategy, Dashboarding & Measurement, Data Visualisation, Qualitative Research, Quantitative Research, ROl Optimisation, Segmentation, Brand Design, Customer Experience Design, Graphic Design, UX / UI Design, CMS / DXP, CRM Implementation, eCommerce & Marketplaces, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Digital Performance Marketing, Media Buying, Media Strategy & Planning, SEO / SEM, Social & Influencer Marketing, Internal Communications, Purpose,  Values & Culture, Recruitment Campaigns","Alcoholic Beverages, Automotive, Beauty, Construction, Education, Entertainment, Financial Services, FMCG, Food and Beverage Services, Government, Grocery, Healthcare, Hospitality, Industry Associations, Not-for-Profit, Pharmaceutical, Professional Services, QSR (Quick Service Restaurant), Real Estate, Retail, Technology,  Information and Media, Telecommunications, Transportation,  Logistics,  Supply Chain and Storage, Travel and Tourism, Utilities, Scale-up, Start-up"
Experience,,
Five by Five Global,"Customer Strategy, Digital Strategy, Qualitative Research, Brand Design, Graphic Design, UX / UI Design, AR / VR, Web Development, Advertising, Brand Strategy, Social Media, Creative Production, Digital Campaign Development, Copywriting, Video Production, Digital Performance Marketing, Events, Experiential Marketing, PR, Shopper / PoS marketing, Social & Influencer Marketing","Alcoholic Beverages, Entertainment, Financial Services, Gaming, Industry Associations, Pharmaceutical, Technology,  Information and Media, Telecommunications, Scale-up, Start-up"
hidden strategy,"Business Strategy, Digital Strategy, Experience Strategy, Growth & Innovation Strategy, New Venture Strategy, Product Strategy, Future Trends, Qualitative Research, Quantitative Research, Brand Design, Customer Experience Design, Proposition Design, Service Design, Spatial Design, UX / UI Design, Brand Strategy, Employee Experience, EVP / Employer Branding","Construction, Fashion, Financial Services, FMCG, Food and Beverage Services, Not-for-Profit, Oil,  Gas,  and Mining, Professional Services, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Utilities, Scale-up, Start-up"
Honest Fox,"Business Strategy, CRM Strategy, Customer Strategy, Digital Strategy, Experience Strategy, Growth & Innovation Strategy, Product Strategy, Customer Data Platforms, Dashboarding & Measurement, Data Analytics, MarTech Consulting, ROl Optimisation, Segmentation, UX / UI Design, CRM Implementation, eCommerce & Marketplaces, MarTech Implementation, Software Development, Web Development, Digital Performance Marketing, Media Strategy & Planning, SEO / SEM","Automotive, Education, Financial Services, Government, Healthcare, Technology,  Information and Media, Travel and Tourism"
LaunchSquad,"Brand Strategy, Social Media, Corporate Communications, PR","Automotive, Entertainment, Fashion, Financial Services, Healthcare, Retail, Technology,  Information and Media, Transportation,  Logistics,  Supply Chain and Storage, Scale-up, Start-up"
Midnight,"Business Strategy, CRM Strategy, Data Strategy, Digital Strategy, Experience Strategy, Product Strategy, UX / UI Design, Artificial Intelligence, Blockchain / Web 3, CMS / DXP, CRM Implementation, eCommerce & Marketplaces, MarTech Implementation, Software Development, Web Development, Digital Campaign Development","Beauty, Education, Entertainment, Fashion, Financial Services, FMCG, Not-for-Profit, Professional Services, Real Estate, Retail, Technology,  Information and Media, Telecommunications, Travel and Tourism, Utilities, Scale-up, Start-up"
North Street Creative,"Brand Design,Graphic Design,Web Development,Brand Strategy,Creative Production,Copywriting","Alcoholic Beverages,Construction,Financial Services,Food and Beverage Services,Healthcare,Hospitality,Not-for-Profit,Professional Services,Real Estate,Technology, Information and Media,Start-up"
Rebel Angel Strategy,"Digital Strategy, Brand Strategy, Social Media, Digital Campaign Development, Media Strategy & Planning","Alcoholic Beverages, Automotive, Entertainment, Financial Services, Food and Beverage Services, Gaming, Grocery, Oil,  Gas,  and Mining, QSR (Quick Service Restaurant), Retail, Technology,  Information and Media, Telecommunications, Travel and Tourism"
Rehab,"Digital Strategy, Experience Strategy, Future Trends, Brand Design, Graphic Design, Customer Experience Design, Spatial Design, UX / UI Design, Artificial Intelligence, Blockchain / Web 3, Mobile App Development, Web Development, Advertising, Brand Strategy, Digital Campaign Development","Alcoholic Beverages, Beauty, Entertainment, Fashion, Technology,  Information and Media"
Rocketer,,
Screentide,,
Something™,,
