Brief Name,Client,Shortlisted Agency,Agency Skills,Agency Industries,Service Description,Agency Description,Agency services,Other Services,Vision,Industry Experience,Agency Locations,Brief Region,Status,Winning Agency,Number of Agencies Shortlisted Brief,Client_WA_Interaction,Project extension with same agency,Client selected agency themselves from marketplace,Right geography / time zone,Strong skill set match,Deep / relevant sector expertise,Good cultural fit,Right price level,Strong track record,Match Score,Lead_George Patten,Lead_Gideon Hyde,Lead_Hannah Fraser,Lead_Kate Walker,Lead_Paul Bowman,Lead_Peter Sayburn,Lead_Phil Kohler,Lead_Robin Scarborough,Sub Brief Taxonomy,Main Brief Taxonomy
Awards applications x5,AXA,Boost Awards,"(Copywriting), (PR)",(Professional_Services),We are the world’s first and largest award entry consultancy.,We are the world’s first and largest award entry consultancy.,(Public_Relations),(Awards_consultancy),,,United Kingdom,united kingdom,Started,Boost Awards,2,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,"(PR), (Corporate_Communication)",(Media_Public Relations & Events)
Awards applications x5,AXA,Reed Words,"(Brand_Strategy), (Copywriting), (Corporate_Communications), (EVP_/_Employer_Branding), (Internal_Communications), (Purpose), (Values_&_Culture)","(Administrative_and_Support_Services), (Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Grocery), (Healthcare), (Hospitality), (Industry_Associations), (Not-for-Profit), (Pharmaceutical), (Professional_Services), (QSR_(Quick_Service_Restaurant)), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Verbal branding and copy writing ,We make brands and business stronger through language.,"(Marketing_Planning), (Social_&_Content)","(Copywriting), (Naming), (Tone_of_Voice), (Brand_Voice), (Verbal_Identity)",Making Brands and Businesses Stronger Through Words,"FMCG,Retail,Non-Profit","United Kingdom, United States",united kingdom,Started,Boost Awards,2,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,"(PR), (Corporate_Communication)",(Media_Public Relations & Events)
Countrywide broker video,AXA,Viewpoint Studios,"(Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Animation), (Audio_Production), (Editing), (Graphic_Design), (Illustration), (Motion_Graphics), (Photography), (Production_Management), (TV_Production), (Video_Production), (Corporate_Communications), (Digital_Performance_Marketing), (Events), (Media_Strategy_&_Planning), (Social_&_Influencer_Marketing), (Employee_Experience), (Internal_Communications), (Learning_&_Development), (Recruitment_Campaigns)","(Alcoholic_Beverages), (Automotive), (Beauty), (Construction), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Healthcare), (Hospitality), (Manufacturing), (Oil), (Gas), (and_Mining), (Pharmaceutical), (Professional_Services), (Real_Estate), (Retail), (Technology), (Information_and_Media), (Telecommunications), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Travel_and_Tourism), (Start-up)",Advertising and commercial photography and film,Inspired photography and film,"(Creative_&_Production), (Social_&_Content)",(Advertising_and_commercial_photography_and_film),,,United Kingdom,united kingdom,Archived,Shoreditch Design Studio,2,1.0,0,0.0,0,1,0,0,1,0,0.3720930232558139,0,0,0,0,0,1,0,0,(Video_Production),"(Production Services), (Advertising_Brand & Creative)"
Countrywide broker video,AXA,Shoreditch Design Studio,"(Brand_Design), (UX_&_UI_Design), (Mobile_App_Development), (Brand_Strategy), (Video_Production)",(B2B),The creative agency for your next big thing,The creative agency for your next big thing,"(Strategic_Design), (UX/UI_Design)","(Product_Design), (Print_Design), (Animation), (Illustration)","We create high quality digital design for businesses. UI, UX, branding, illustration, mobile design and more. You talk directly to designers who will turn your expectations into reality at speed.","Automotive,Fitness,Health,Insurance,Fintech,Tech,Retail","Australia, United Kingdom, United States",united kingdom,Archived,Shoreditch Design Studio,2,1.0,0,0.0,0,1,0,0,1,1,0.4651162790697674,0,0,0,0,0,1,0,0,(Video_Production),"(Production Services), (Advertising_Brand & Creative)"
Prop Dev (EV and CC Insurance),AXA,Blue Feathers,"(Business_Strategy), (CRM_Strategy), (Customer_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (Product_Strategy), (Sustainability_Strategy), (Future_Trends), (Brand_Strategy), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture)","(Alcoholic_Beverages), (Beauty), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Grocery), (Healthcare), (Oil), (Gas), (and_Mining), (Retail), (Travel_and_Tourism), (Utilities)",We work with ambitious marketing leaders and their teams to help them navigate established brands through complex and competitive markets.,We work with ambitious marketing leaders and their teams to help them navigate established brands through complex and competitive markets.,"(Brand_Strategy), (Proposition_Design), (CRM_&_Loyalty)",,Specialists in brand strategy and proposition development,"Insurance,Financial Services,Waste Management,Education",United Kingdom,united kingdom,Started,Daughter Studio,3,1.0,0,1.0,1,1,0,0,0,0,0.3488372093023255,0,0,0,0,0,0,1,0,(Proposition_Design),(Experience & Design)
Prop Dev (EV and CC Insurance),AXA,Daughter Studio,"(Business_Strategy), (Customer_Strategy), (Qualitative_Research), (Brand_Design), (Graphic_Design), (Proposition_Design), (UX_/_UI_Design), (Advertising), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Corporate_Communications), (PR), (Shopper_/_PoS_marketing), (Internal_Communications), (Purpose), (Values_&_Culture), (Recruitment_Campaigns)","(Alcoholic_Beverages), (Automotive), (Beauty), (Education), (Entertainment), (Fashion), (Financial_Services), (FMCG), (Food_and_Beverage_Services), (Government), (Grocery), (Hospitality), (Industry_Associations), (Manufacturing), (Not-for-Profit), (Professional_Services), (Technology), (Information_and_Media), (Travel_and_Tourism), (Utilities), (Scale-up), (Start-up)",Independent creative agency of senior thinkers and doers.,Independent creative agency of senior thinkers and doers.,"(Brand_Strategy), (Creative_&_Production), (Marketing_Planning)",,We give brands the impact they deserve by separating them from the crowd.,"Financial Services,Automotive,Utilities,Entertainment",United Kingdom,united kingdom,Started,Daughter Studio,3,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,(Proposition_Design),(Experience & Design)
Prop Dev (EV and CC Insurance),AXA,CreateFuture,"(Business_Strategy), (Customer_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Qualitative_Research), (Quantitative_Research), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (UX_/_UI_Design), (Brand_Strategy), (Corporate_Communications), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture)","(Alcoholic_Beverages), (Financial_Services), (Food_and_Beverage_Services), (Pharmaceutical), (Professional_Services), (Technology), (Information_and_Media), (Scale-up)",CreateFuture is an innovation & design company. We develop new and improved products and services for global brands.,CreateFuture is an innovation & design company. We develop new and improved products and services for global brands.,"(Research_&_Insight), (Proposition_Design), (Strategic_Design), (B_Corp)","(Proposition
New_ideas_for_products_and_services_that_create_growth_from_within.

Market_research_
Business_model_design
Proposition_development_
Service_mapping_&_opportunity_spotting
Partner_selection_and_oversight
Roll-out_support


Brand_
Crafting_brands_that_motivate_colleagues_and_move_customers.

Research;_quantitative_&_qualitative
Brand_strategy_
Verbal_brand
Visual_identity_&_logo_design
Narrative_&_messaging
Launch_planning_&_activation_
__

Experience_
Powerful_experiences_to_connect_with_your_customers_and_drive_results.

Colleague_&_Customer
Research_and_insight_gathering
Planning_&_strategy_development_
Employee_experience_design_
Culture_and_capability_building
Service_design
Journey_mapping_and_design
Storytelling__

Digital
Full_website_&_digital_experience_discovery), (definition_&_design_
Planning_&_strategy_development_
Roadmap_&_Backlog_planning
Journey_and_service_mapping
UX_and_detailed_design_definition
Prototyping_&_interaction_design_
Design_system_setup
Content_strategy_&_copy_direction

Marketing
Marketing_strategy_development
Campaign_strategy_&_planning_
Comms_planning
Experiential_activations_
Idea_generation_
Content_strategy_&_copy_direction
Production_oversight_and_partner_selection
Creative_direction)",,,United Kingdom,united kingdom,Started,Daughter Studio,3,1.0,0,0.0,1,1,0,0,0,1,0.4186046511627906,0,0,0,0,0,0,1,0,(Proposition_Design),(Experience & Design)
Digital Claims,AXA,Oxara London,(UX_/_UI_Design),(Financial_Services),Deliver the most creative and best performing digital experiences.,Deliver the most creative and best performing digital experiences.,"(Proposition_Design), (Creative_&_Production), (UX/UI_Design)","(We_are_a_full_service_digital_agency), (creative_and_development)",,,United Kingdom,united kingdom,Contracting,Secret Source Marketing,2,1.0,0,0.0,0,1,0,0,0,0,0.2325581395348837,0,0,0,0,0,1,0,0,"(Customer_Experience_Design), (Copywriting), (Digital_Campaign_Development)","(Experience & Design), (Advertising_Brand & Creative)"
Digital Claims,AXA,Secret Source Marketing,"(Business_Strategy), (CRM_Strategy), (Customer_Strategy), (Data_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Sustainability_Strategy), (Customer_Data_Platforms), (Dashboarding_&_Measurement), (Data_Analytics), (MarTech_Consulting), (ROl_Optimisation), (Segmentation), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (UX_/_UI_Design), (CMS_/_DXP), (CRM_Implementation), (MarTech_Implementation), (Mobile_App_Development), (Web_Development), (Brand_Strategy), (Social_Media), (Creative_Production), (Digital_Campaign_Development), (Copywriting), (Video_Production), (Digital_Performance_Marketing), (SEO_/_SEM), (Social_&_Influencer_Marketing), (Internal_Communications)","(Administrative_and_Support_Services), (Construction), (Financial_Services), (Professional_Services), (Technology), (Information_and_Media), (Transportation), (Logistics), (Supply_Chain_and_Storage), (Scale-up), (Start-up)",Marketing Growth Agency,Marketing Growth Agency,"(Creative_&_Production), (Marketing_Planning), (Digital_Marketing)","(HubSpot_Agency), (Revenue_Operations_(RevOps)), (UI/UX_App_Design)",,,"United Kingdom, United States",united kingdom,Contracting,Secret Source Marketing,2,1.0,0,0.0,0,1,1,0,1,0,0.6046511627906976,0,0,0,0,0,1,0,0,"(Customer_Experience_Design), (Copywriting), (Digital_Campaign_Development)","(Experience & Design), (Advertising_Brand & Creative)"
Connected Car prop dev sprint,AXA,CreateFuture,"(Business_Strategy), (Customer_Strategy), (Digital_Strategy), (Experience_Strategy), (Growth_&_Innovation_Strategy), (Loyalty_Strategy), (New_Venture_Strategy), (Product_Strategy), (Qualitative_Research), (Quantitative_Research), (Brand_Design), (Customer_Experience_Design), (Graphic_Design), (Proposition_Design), (Service_Design), (UX_/_UI_Design), (Brand_Strategy), (Corporate_Communications), (Change_Management), (Employee_Experience), (EVP_/_Employer_Branding), (Internal_Communications), (Learning_&_Development), (Purpose), (Values_&_Culture)","(Alcoholic_Beverages), (Financial_Services), (Food_and_Beverage_Services), (Pharmaceutical), (Professional_Services), (Technology), (Information_and_Media), (Scale-up)",CreateFuture is an innovation & design company. We develop new and improved products and services for global brands.,CreateFuture is an innovation & design company. We develop new and improved products and services for global brands.,"(Research_&_Insight), (Proposition_Design), (Strategic_Design), (B_Corp)","(Proposition
New_ideas_for_products_and_services_that_create_growth_from_within.

Market_research_
Business_model_design
Proposition_development_
Service_mapping_&_opportunity_spotting
Partner_selection_and_oversight
Roll-out_support


Brand_
Crafting_brands_that_motivate_colleagues_and_move_customers.

Research;_quantitative_&_qualitative
Brand_strategy_
Verbal_brand
Visual_identity_&_logo_design
Narrative_&_messaging
Launch_planning_&_activation_
__

Experience_
Powerful_experiences_to_connect_with_your_customers_and_drive_results.

Colleague_&_Customer
Research_and_insight_gathering
Planning_&_strategy_development_
Employee_experience_design_
Culture_and_capability_building
Service_design
Journey_mapping_and_design
Storytelling__

Digital
Full_website_&_digital_experience_discovery), (definition_&_design_
Planning_&_strategy_development_
Roadmap_&_Backlog_planning
Journey_and_service_mapping
UX_and_detailed_design_definition
Prototyping_&_interaction_design_
Design_system_setup
Content_strategy_&_copy_direction

Marketing
Marketing_strategy_development
Campaign_strategy_&_planning_
Comms_planning
Experiential_activations_
Idea_generation_
Content_strategy_&_copy_direction
Production_oversight_and_partner_selection
Creative_direction)",,,United Kingdom,united kingdom,Brief Abandoned,unknown,3,1.0,0,0.0,0,1,1,1,0,0,0.6046511627906976,0,0,0,0,0,1,0,0,(Proposition_Design),(Experience & Design)
